,calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,species_Adelie,species_Chinstrap,species_Gentoo,island_Biscoe,island_Dream,island_Torgersen,gender_Female,gender_Male
291,6301,10,50.5,19.6,201.0,4050.0,2007.0,0.0,True,False,False,True,False,False,True
292,4418,11,50.3,20.0,197.0,3300.0,2007.0,0.0,True,False,False,True,False,False,True
293,3773,10,58.0,17.8,181.0,3700.0,2007.0,0.0,True,False,False,True,False,True,False
294,5105,11,46.4,18.6,190.0,3450.0,2007.0,0.0,True,False,False,True,False,True,False
295,3916,10,49.2,18.2,195.0,4400.0,2007.0,0.0,True,False,False,True,False,False,True
296,6488,12,42.4,17.3,181.0,3600.0,2007.0,0.0,True,False,False,True,False,True,False
297,4843,9,48.5,17.5,10.0,3400.0,2007.0,0.0,True,False,False,True,False,False,True
298,5208,14,43.2,16.6,187.0,2900.0,2007.0,0.0,True,False,False,True,False,True,False
299,4342,14,50.6,19.4,193.0,3800.0,2007.0,0.0,True,False,False,True,False,False,True
300,5053,9,46.7,17.9,195.0,3300.0,2007.0,0.0,True,False,False,True,False,True,False
301,3791,9,52.0,19.0,197.0,4150.0,2007.0,0.0,True,False,False,True,False,False,True
302,4002,13,50.5,18.4,200.0,3400.0,2008.0,0.0,True,False,False,True,False,True,False
303,6149,9,49.5,19.0,200.0,3800.0,2008.0,0.0,True,False,False,True,False,False,True
304,6988,7,46.4,17.8,191.0,3700.0,2008.0,0.0,True,False,False,True,False,True,False
305,4015,10,52.8,20.0,205.0,4550.0,2008.0,0.0,True,False,False,True,False,False,True
306,5249,7,40.9,16.6,187.0,3200.0,2008.0,0.0,True,False,False,True,False,True,False
307,3620,8,54.2,20.8,201.0,4300.0,2008.0,0.0,True,False,False,True,False,False,True
308,6922,11,42.5,16.7,187.0,3350.0,2008.0,0.0,True,False,False,True,False,True,False
309,5454,10,51.0,18.8,203.0,4100.0,2008.0,0.0,True,False,False,True,False,False,True
310,4315,10,49.7,18.6,195.0,3600.0,2008.0,0.0,True,False,False,True,False,False,True
311,4746,10,47.5,16.8,199.0,3900.0,2008.0,0.0,True,False,False,True,False,True,False
312,5959,14,47.6,18.3,190.0,3850.0,2008.0,0.0,True,False,False,True,False,True,False
313,4980,13,52.0,20.7,210.0,4800.0,2008.0,0.0,True,False,False,True,False,False,True
314,3816,7,46.9,16.6,192.0,2700.0,2008.0,0.0,True,False,False,True,False,True,False
315,4439,13,53.5,19.9,205.0,4500.0,2008.0,0.0,True,False,False,True,False,False,True
316,4579,9,49.0,19.5,210.0,3950.0,2008.0,0.0,True,False,False,True,False,False,True
317,6533,8,46.2,17.5,187.0,3650.0,2008.0,0.0,True,False,False,True,False,True,False
318,6385,13,50.9,19.1,196.0,3550.0,2008.0,0.0,True,False,False,True,False,False,True
319,4669,13,45.5,18.018318318318318,196.0,908.0,2008.0,0.0,True,False,False,True,False,True,False
320,3574,14,50.9,17.9,196.0,3675.0,2009.0,0.0,True,False,False,True,False,True,False
321,7197,14,50.8,18.5,201.0,4450.0,2009.0,0.0,True,False,False,True,False,False,True
322,3802,9,83.27,17.9,19.0,3400.0,2009.0,0.0,True,False,False,True,False,True,False
323,4261,14,49.0,19.6,212.0,4300.0,2009.0,0.0,True,False,False,True,False,False,True
324,3922,11,51.5,18.7,187.0,3250.0,2009.0,0.0,True,False,False,True,False,False,True
325,3690,10,49.8,17.3,198.0,3675.0,2009.0,0.0,True,False,False,True,False,True,False
326,5535,13,48.1,16.4,199.0,3325.0,2009.0,0.0,True,False,False,True,False,True,False
327,7008,10,51.4,19.0,201.0,3950.0,2009.0,0.0,True,False,False,True,False,False,True
328,5924,12,45.7,17.3,193.0,3600.0,2009.0,0.0,True,False,False,True,False,True,False
329,3528,12,50.7,19.7,203.0,4050.0,2009.0,0.0,True,False,False,True,False,False,True
330,4284,7,42.5,17.3,187.0,3350.0,2009.0,0.0,True,False,False,True,False,True,False
331,6280,12,52.2,18.8,197.0,3450.0,2009.0,0.0,True,False,False,True,False,False,True
332,6564,9,45.2,16.6,191.0,3250.0,2009.0,0.0,True,False,False,True,False,True,False
333,5405,8,49.3,19.9,203.0,4050.0,2009.0,0.0,True,False,False,True,False,False,True
334,3893,7,50.2,18.8,202.0,3800.0,2009.0,0.0,True,False,False,True,False,False,True
335,7195,13,112.75,19.4,194.0,3525.0,2009.0,0.0,True,False,False,True,False,True,False
336,6700,7,51.9,19.5,206.0,3950.0,2009.0,0.0,True,False,False,True,False,False,True
337,4037,9,46.8,16.5,189.0,3650.0,2009.0,0.0,True,False,False,True,False,True,False
338,3796,12,45.49421364985163,17.0,195.0,3650.0,2009.0,0.0,True,False,False,True,False,True,False
339,4826,11,55.8,19.8,207.0,4000.0,2009.0,0.0,True,False,False,True,False,False,True
340,4111,9,43.5,18.1,202.0,3400.0,2009.0,0.0,True,False,False,True,False,True,False
341,7049,10,49.6,18.2,193.0,3775.0,2009.0,0.0,True,False,False,True,False,False,True
342,4705,7,50.8,19.0,210.0,4100.0,2009.0,0.0,True,False,False,True,False,False,True
343,6098,7,50.2,18.7,198.0,3775.0,2009.0,0.0,True,False,False,True,False,True,False
